"No.","Time","Source","Destination","Protocol","Length","Info"
"164","11.042140600","192.168.1.100","35.186.224.34","TLSv1.2","82","Application Data"
"165","11.072415600","35.186.224.34","192.168.1.100","TCP","60","443  >  58831 [ACK] Seq=1 Ack=29 Win=1049 Len=0"
"166","11.213981000","192.168.1.228","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"167","11.348031000","192.168.1.100","34.54.84.110","TLSv1.2","99","Application Data"
"168","11.378469500","34.54.84.110","192.168.1.100","TCP","60","443  >  64937 [ACK] Seq=1 Ack=46 Win=1042 Len=0"
"169","11.506726400","34.54.84.110","192.168.1.100","TLSv1.2","131","Application Data"
"170","11.506870200","192.168.1.100","34.54.84.110","TLSv1.2","93","Application Data"
"171","11.540347500","34.54.84.110","192.168.1.100","TCP","60","443  >  64937 [ACK] Seq=78 Ack=85 Win=1042 Len=0"
"172","11.829040900","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.223? Tell 192.168.1.1"
"173","11.932198600","192.168.1.15","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"174","12.136306200","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.75? Tell 192.168.1.1"
"175","12.341227500","ZyxelCommuni_83:31:00","IEEE-1905.1-Control","ieee1905","658","Vendor specific"
"176","12.789835600","192.168.1.100","94.130.221.203","TCP","66","61713  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"177","12.834860300","94.130.221.203","192.168.1.100","TCP","66","443  >  61713 [SYN, ACK] Seq=0 Ack=1 Win=65500 Len=0 MSS=1310 SACK_PERM WS=128"
"178","12.834957400","192.168.1.100","94.130.221.203","TCP","54","61713  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"179","12.837929100","192.168.1.100","94.130.221.203","TLSv1.3","1752","Client Hello (SNI=discovery-lookup.syncthing.net)"
"180","12.886865700","94.130.221.203","192.168.1.100","TCP","60","443  >  61713 [ACK] Seq=1 Ack=1311 Win=68224 Len=0"
"181","12.886865700","94.130.221.203","192.168.1.100","TCP","60","443  >  61713 [ACK] Seq=1 Ack=1699 Win=70784 Len=0"
"182","12.886865700","94.130.221.203","192.168.1.100","TLSv1.3","432","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data"
"183","12.887205600","192.168.1.100","94.130.221.203","TLSv1.3","118","Change Cipher Spec, Application Data"
"184","12.887320600","192.168.1.100","94.130.221.203","TLSv1.3","146","Application Data"
"185","12.887410200","192.168.1.100","94.130.221.203","TLSv1.3","196","Application Data"
"186","12.933112200","94.130.221.203","192.168.1.100","TLSv1.3","115","Application Data"
"187","12.933270900","192.168.1.100","94.130.221.203","TLSv1.3","85","Application Data"
"188","12.933545400","94.130.221.203","192.168.1.100","TCP","60","443  >  61713 [ACK] Seq=440 Ack=1997 Win=72960 Len=0"
"189","12.933545400","94.130.221.203","192.168.1.100","TLSv1.3","89","Application Data"
"190","12.933584200","94.130.221.203","192.168.1.100","TLSv1.3","85","Application Data"
"191","12.933614700","192.168.1.100","94.130.221.203","TCP","54","61713  >  443 [ACK] Seq=2028 Ack=506 Win=65024 Len=0"
"192","12.934461200","94.130.221.203","192.168.1.100","TLSv1.3","163","Application Data"
"193","12.934461200","94.130.221.203","192.168.1.100","TLSv1.3","95","Application Data"
"194","12.934506900","192.168.1.100","94.130.221.203","TCP","54","61713  >  443 [ACK] Seq=2028 Ack=656 Win=64768 Len=0"
"195","13.018926100","94.130.221.203","192.168.1.100","TCP","60","443  >  61713 [ACK] Seq=656 Ack=2028 Win=72960 Len=0"
"196","13.263034600","ZyxelCommuni_83:31:00","ASUSTekCOMPU_3c:21:b4","ARP","60","Who has 192.168.1.100? Tell 192.168.1.1"
"197","13.263034600","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.100? Tell 192.168.1.1"
"198","13.263053600","ASUSTekCOMPU_3c:21:b4","ZyxelCommuni_83:31:00","ARP","42","192.168.1.100 is at 08:bf:b8:3c:21:b4"
"199","13.263072000","ASUSTekCOMPU_3c:21:b4","ZyxelCommuni_83:31:00","ARP","42","192.168.1.100 is at 08:bf:b8:3c:21:b4"
"200","13.336486100","TPLink_01:f0:9a","Broadcast","ARP","60","Who has 192.168.1.109? Tell 192.168.1.21"
